N,P,K,temperature,humidity,ph,rainfall,label
92,19,111,36.84856701009247,65.32911358339788,6.174996517121547,47.793026597404804,mungbean
87,121,104,13.286072263111809,69.97640867360136,3.8384694741626015,220.71565869017726,banana
129,25,165,19.256962989502895,59.129053120372454,6.091670111852695,100.96170097505565,mothbeans
14,55,112,27.02667422130363,64.94765292213566,3.778702476319986,188.89746882859987,pomegranate
72,22,136,42.86146496033955,62.44278673471638,5.812499015239497,24.438618117219548,jute
83,96,115,33.28075019654196,66.4597125693054,8.499169470416986,68.19537367516064,maize
49,108,136,19.533309815308208,58.72584982129173,6.780261676059678,71.38953863609652,orange
43,18,99,42.10934669585532,21.610355176465077,4.675897174514871,32.57318631712958,papaya
81,115,57,29.709793129562385,97.01195642471586,7.142205486120108,96.72777260226705,blackgram
44,69,93,37.23192142682251,92.06857343847616,4.692294089205035,21.535148560361467,muskmelon
32,127,9,42.27313250499391,69.99262419316722,8.989758053262685,256.3107246255642,chickpea
32,52,155,32.747126348553465,71.26932266910471,7.047786726246363,96.37265845123784,mango
100,135,5,34.703992283100305,34.294703098410196,5.036409936567944,31.240537891683914,chickpea
14,94,46,33.44913357964575,91.95516086426127,8.874581574041116,152.15292204462708,muskmelon
28,40,17,10.84825666366534,38.91862495058405,4.4673277235240265,278.4559473512353,pigeonpeas
61,138,32,37.73586684526724,30.04502506419908,8.855353990939866,169.9371432525509,grapes
128,125,31,23.802988179171486,84.3492698693344,8.664383499538062,21.932692287671017,mungbean
136,66,169,33.620133216940005,37.16946070667285,4.964753133486645,66.7849097240747,blackgram
112,66,190,43.61054991285812,35.65327744098131,6.483491035354312,103.64417012906196,lentil
80,117,6,26.599123859467873,18.427172607499084,5.171878785419668,272.4979162987297,orange
125,134,57,26.109752130269833,98.76593905351166,4.952331629069002,206.85368217883425,coconut
122,42,28,25.40112347450342,98.5743901169565,5.892946654667318,246.96806075498873,banana
96,128,191,10.248817433917843,17.506662173709696,6.012093058299281,208.3628925921545,apple
95,56,165,22.710164780238326,58.52661614536329,8.526260635443968,207.84185253692004,coconut
41,103,11,32.41940970326462,84.28110921730456,6.831204869596774,167.2428607829698,papaya
128,52,144,28.656857783462613,89.90672551428321,4.632242650048276,97.52623602062656,maize
47,135,152,40.822197697809344,81.06929694375565,7.352189876925727,43.39091026862357,coconut
103,88,116,11.754447086043188,71.0611521432928,3.530369503077312,64.70463829406462,blackgram
53,72,37,26.27406746178708,29.378752993034276,5.69881270749716,226.8794054097243,papaya
127,37,180,11.465966409639421,45.62355906311129,5.091214206090353,87.82912085938523,chickpea
108,55,186,41.5256551455865,51.35791543389686,5.600470446168054,199.33873464449704,mothbeans
60,52,151,32.04916770986414,87.79560341796758,3.7616226305266025,296.4850420016608,muskmelon
98,128,41,42.34778681574584,50.82383675528903,9.299928914262019,287.88635363081227,mothbeans
81,71,132,21.789414082479823,84.1783743523072,8.565278844357868,160.56241962743158,rice
126,134,21,39.400782412212955,25.749434504014477,7.753465981460712,173.68395358039834,maize
25,103,54,40.08167578746384,92.53868751985654,6.568054393165626,159.42152992304148,pomegranate
19,69,12,33.97277445853503,82.43816957150469,8.840032050905398,113.96265360472695,grapes
65,36,195,9.329864130479457,54.041429559391574,6.75586780824546,99.65846809166307,maize
48,74,19,17.80567335745896,24.92720408806209,6.9343357137285,234.05820776141383,coffee
5,113,120,23.220094487097107,74.15805012597866,4.330118554506808,56.903227383545605,kidneybeans
123,110,162,9.519498120411404,48.29859752425233,6.1011244254844526,226.84385475375407,papaya
116,66,27,23.847635572783986,73.21099146582151,3.8491615730506616,274.4294162801616,pigeonpeas
33,100,130,32.7504438613985,91.57111328500167,9.107683984038259,197.4392250884514,muskmelon
21,97,199,17.166046611542825,44.61365036400849,8.047076662786214,24.001389839072132,pigeonpeas
68,51,98,32.37423812675249,89.73471770780566,6.345042974523951,47.197896660978415,watermelon
64,27,14,43.11839206888128,90.02079767830519,5.0653617400502835,290.01544621192244,rice
3,20,28,42.92398936874802,95.2056373527644,8.703193601330023,196.92020008999114,grapes
139,128,37,24.955356948186115,60.92304388117041,9.148788852659152,127.33653330861524,cotton
85,47,48,18.13656171088195,86.73108429777453,5.763554499367855,242.73808265068394,rice
92,94,166,17.645697544728414,56.659221069232935,7.657342152151636,116.83757603798887,blackgram
119,25,168,14.565263119849744,78.55286864111382,8.341008435603584,295.36042947618716,banana
35,100,156,21.098631406710616,62.32053552436453,5.73823615240398,208.99684881226835,apple
112,66,88,38.57892624598644,41.52426568863261,8.873139370977203,128.19806668809736,orange
75,13,203,43.40163274967888,72.20221178049007,6.395125697855855,157.06113286056177,mango
116,73,103,21.71944075706804,61.61846250173886,5.613464602017448,283.0420829211099,apple
41,126,137,35.27031560126733,60.94875623418905,7.734988903272168,289.2852404248095,jute
73,11,178,33.93585786398744,20.257618547320643,8.431160355742136,216.33533914950596,lentil
28,87,140,21.84801944297645,45.87522464775262,8.376797403545016,283.33510451271275,pigeonpeas
131,40,74,34.20270423657839,55.42336096491392,5.767925540733527,216.01345327447146,grapes
89,23,43,24.07471824606604,35.816666953089936,5.9312125206885025,178.86950100699295,pomegranate
60,131,109,35.535831306902026,72.56939073033418,4.92503882775482,131.26196421842292,cotton
55,121,138,37.67804221398916,98.09945751286729,6.836030231855507,109.70681594116826,orange
117,24,189,19.41337120126095,68.12828287963258,6.0843143119231,146.36241600544096,apple
11,78,20,12.82181739585642,53.186480739571316,5.963698404939982,97.11196886875489,apple
27,105,45,17.61814492560772,52.978712827279466,3.693895706657903,97.7742549929669,papaya
45,39,138,43.14259679180119,76.41187772139895,7.180491175614739,136.27156408879205,jute
108,9,123,23.216439313658654,80.8737964012294,6.382220491198128,293.9095220850102,papaya
84,30,67,22.540609612217786,85.30812298076025,6.914488814994486,37.65628862602037,banana
98,133,153,10.085893376084304,88.36612435793458,8.377406054780465,297.9215131735443,lentil
2,27,57,42.956332005649834,87.06967559825739,4.984088610459186,145.251269616206,mothbeans
0,55,177,30.37244077049261,86.13557592199629,7.53020410643514,191.83965084729505,watermelon
117,7,127,19.387757871528827,84.20917322832337,9.307842592638938,44.577486095649746,maize
111,51,155,35.9400784599239,67.34662141639797,7.724478608595342,79.20403689947719,orange
37,54,102,31.555839900024456,61.714142334631404,4.046012546307981,221.93837507676346,mothbeans
78,34,110,39.90745722362957,95.65877363455722,4.382440885574228,277.5913597948954,mothbeans
